Qualification Title,Owner Organisation Name,Owner Organisation Acronym,Qualification Level,Qualification Type,Qualification Status
Pearson BTEC Level 2 Award in CCTV Operations (Public Space Surveillance) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Confined Spaces) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Deep Cleaning of Internal Equipment Surfaces and Areas) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (External Surfaces and Areas) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Food Areas) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Glazed Surfaces and Facades) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (High Risk Areas; Controlled Environments) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Interiors and Washrooms) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Maintenance and Minor Repairs of Property) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Manual Street Cleaning) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Mechanical Street Cleaning) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Passenger Transport Interiors) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Periodic Cleaning of Hard and Semi-hard Floors) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Periodic Cleaning of Soft Floors and Furnishings) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Specialist Electronic Equipment) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Water-Fed Pole Systems) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Cleaning Principles (Working Safely at Heights) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Coastal Zone Management (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Conflict Management (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Conservation and Improvement of British Habitats (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Construction and Built Environment (Specialist: Construction),Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Contact Centre Skills,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Counselling Skills,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Countryside Access and Recreation (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Craft Cuisine Skills (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
"Pearson BTEC Level 2 Award in Cultural Awareness in Customer Service for Hospitality, Leisure, Travel and Tourism",Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Customer Service (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Developing An Entrepreneurial Approach,Pearson Education Ltd,Pearson,Level 2,Other Vocational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Disengagement and Non-restrictive Physical Intervention Skills,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Disengagement and Physical Intervention Skills,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Door Supervision (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award In Drugs Awareness in the Licensed Retail Sector (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in e-Responsibility for Education (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Ecological Surveys and Techniques (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Employability Skills (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Employment and Personal Learning Skills in Health,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Engineering (Specialist: Applied Science) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Engineering (Specialist: Manufacturing Engineering) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Enterprise Skills,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Environmental and Land-based Business (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Event Planning,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Exercise and Fitness Instruction,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Fashion and Clothing (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Food Safety for Logistics (QCF),Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Food Safety for Retail (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Food Safety in Catering,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Food Safety in Health and Social Care and Early Years and Childcare Settings (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Graphic Design (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in HACCP Based Food Safety Systems in Manufacturing (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Health and Safety in the Workplace,Pearson Education Ltd,Pearson,Level 2,Other Vocational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Heavy Machine Gun Operations (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Hospitality and Catering Principles (Food and Beverage Service) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Hospitality and Catering Principles (Front of House Reception) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Hospitality and Catering Principles (Hospitality Services) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Hospitality and Catering Principles (Housekeeping) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Hospitality Skills (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Improving Health and Fitness for Entry to the Uniformed Public Services (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Interactive Media (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Mathematical Applications,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
"Pearson BTEC Level 2 Award in Meeting the Requirements of Customers with Specific Needs in Hospitality, Leisure, Travel and Tourism",Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Money and Finance Skills,Pearson Education Ltd,Pearson,Level 2,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 2 Award in Nutrition Awareness,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Paediatric First Aid (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Photography (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Planning and Participating in Work Experience,Pearson Education Ltd,Pearson,Level 2,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 2 Award in Playwork (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Practical Food Safety in Catering (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Prevention and Control of Infection (QCF),Pearson Education Ltd,Pearson,Level 2,Other Vocational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Principles of Business and Administration (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
"Pearson BTEC Level 2 Award in Principles of Customer Service in Hospitality, Leisure, Travel and Tourism",Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
"Pearson BTEC Level 2 Award in Principles of Holland & Barrett Vitamins, Minerals, Supplements and Health Products",Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Principles of the Creative and Cultural Sector (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Principles of the Cultural Heritage Sector (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Promoting Equality and Diversity in the Workplace (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Promoting Food Safety and Nutrition in Health and Social Care or Early Years and Childcare Settings (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Public Sector Practice (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Retail Knowledge,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Safe Learning in the Workplace (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Sales,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Security Guarding (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Setting up a Business Online (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Skills and Activities for Sport and Active Leisure (Outdoor Education),Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Social Networking for Business,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Supporting Activity Provision in Social Care,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Supporting Individuals with Learning Disabilities (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Sustainability Skills,Pearson Education Ltd,Pearson,Level 2,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 2 Award in Team Leading (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Textiles (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in the Principles of Coaching Sport,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Trade Business Services (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Underage Sales Prevention (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Understanding Business Enterprise (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
"Pearson BTEC Level 2 Award in Understanding Holland & Barrett Vitamins, Minerals, Supplements and Health Products",Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Understanding Stewarding at Spectator Events,Pearson Education Ltd,Pearson,Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 Award in Using and Promoting Multi-Channel Retailing in Store (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Vehicle Immobilisation (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Visual Arts (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
"Pearson BTEC Level 2 Award in Welcoming Tourists and Visitors to their Destination in Hospitality, Leisure, Travel and Tourism (QCF)",Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Workskills for Effective Learning and Employment,Pearson Education Ltd,Pearson,Level 2,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 2 Award in Youth Work Practice (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Certificate for Legal Secretaries (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Certificate in 3D Design (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
